[0111/214801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0113/190251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0114/152101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0114/174838:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/113151:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/120051:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/155146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/155510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/161003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/161251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/161820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/173208:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/173814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/112511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/143758:ERROR:file_io.cc(30)] read: expected 4, observed 0
